date,year,carrier_code,carrier_name,alliance,aircraft_type,flight_no,origin_iata,dest_iata,tail,review_url,origin_name,origin_city,origin_state,origin_country,origin_lat,origin_lon,dest_name,dest_city,dest_state,dest_country,dest_lat,dest_lon
20131123,2013,UA,United Airlines,Star Alliance,B753,UA1165,LAX,EWR,N75851,,Los Angeles International Airport,Los Angeles,California,United States,33.942501,-118.407997,Newark Liberty International Airport,Newark / Elizabeth,New Jersey,United States,40.6894,-74.170545
20131124,2013,UA,United Airlines,Star Alliance,E145,UA4101,EWR,ALB,N16178,,Newark Liberty International Airport,Newark / Elizabeth,New Jersey,United States,40.6894,-74.170545,Albany International Airport,Albany / Colonie,New York,United States,42.748299,-73.801697
20131126,2013,US,US Airways,One World,E175,US3275,ALB,PHL,TBD,,Albany International Airport,Albany / Colonie,New York,United States,42.748299,-73.801697,Philadelphia International Airport,Philadelphia,Pennsylvania,United States,39.871899,-75.241096
20131126,2013,US,US Airways,One World,A319,US1744,PHL,BOS,N763US,,Philadelphia International Airport,Philadelphia,Pennsylvania,United States,39.871899,-75.241096,Boston Logan International Airport,Boston,Massachusetts,United States,42.36197,-71.0079
20131128,2013,WN,Southwest Airlines,Independent,B738,WN363,MHT,MDW,N8617E,,Manchester-Boston Regional Airport,Manchester,New Hampshire,United States,42.932598,-71.435699,Chicago Midway International Airport,Chicago,Illinois,United States,41.785999,-87.752403
20131128,2013,US,US Airways,One World,B738,WN2938,MDW,SAN,N8326F,,Chicago Midway International Airport,Chicago,Illinois,United States,41.785999,-87.752403,San Diego International Airport,San Diego,California,United States,32.733601,-117.190002
20140501,2014,US,US Airways,One World,A319,US1811,ALB,CLT,N757UW,,Albany International Airport,Albany / Colonie,New York,United States,42.748299,-73.801697,Charlotte Douglas International Airport,Charlotte,North Carolina,United States,35.214001,-80.9431
20140501,2014,US,US Airways,One World,A321,US0721,CLT,LAX,N174US,,Charlotte Douglas International Airport,Charlotte,North Carolina,United States,35.214001,-80.9431,Los Angeles International Airport,Los Angeles,California,United States,33.942501,-118.407997
20140505,2014,US,US Airways,One World,A321,US670,SAN,PHL,N548UW,,San Diego International Airport,San Diego,California,United States,32.733601,-117.190002,Philadelphia International Airport,Philadelphia,Pennsylvania,United States,39.871899,-75.241096
20140505,2014,US,US Airways,One World,TBD,US3306,PHL,ALB,TBD,,Philadelphia International Airport,Philadelphia,Pennsylvania,United States,39.871899,-75.241096,Albany International Airport,Albany / Colonie,New York,United States,42.748299,-73.801697
20150117,2015,WN,Southwest Airlines,Independent,B738,WN3589,ALB,MDW,N8301J,,Albany International Airport,Albany / Colonie,New York,United States,42.748299,-73.801697,Chicago Midway International Airport,Chicago,Illinois,United States,41.785999,-87.752403
